Trans. Date,Post Date,Description,Amount,Category
03/27/2023,03/27/2023,"PUTTSHACK BOSTON SEA. 6172957888 MAAPPLE PAY ENDING IN 0444",18.00,"Restaurants"
03/27/2023,03/27/2023,"SQ *BOSTON SCOOPS BOSTON MAAPPLE PAY ENDING IN 04440002305843017294897421",7.50,"Restaurants"
03/28/2023,03/28/2023,"TST* BOSTON BURGER COMPA BOSTON MA",105.21,"Restaurants"
03/29/2023,03/29/2023,"DD DOORDASH THECHEESE 855-973-1040 CAAPPLE PAY ENDING IN 0444",42.56,"Restaurants"
03/29/2023,03/29/2023,"YAS CHICKEN PROVIDENCE RIAPPLE PAY ENDING IN 0444",18.34,"Restaurants"
03/30/2023,03/30/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",23.32,"Merchandise"
03/31/2023,03/31/2023,"AROMA JOES - PROVIDENCE PROVIDENCE RIAPPLE PAY ENDING IN 0444",10.75,"Restaurants"
04/01/2023,04/01/2023,"ANGELL NAILS PROVIDENCE RI",75.00,"Services"
04/01/2023,04/01/2023,"SQ *KOW KOW PROVIDENCE RIAPPLE PAY ENDING IN 04440002305843017327790749",9.18,"Restaurants"
04/01/2023,04/01/2023,"SQ *ZINNEKEN'S BELGIAN PROVIDENCE RI0002305843017321757188",15.68,"Merchandise"
04/03/2023,04/03/2023,"SOBAN KOREAN BBQ CHICKEN PROVIDENCE RIAPPLE PAY ENDING IN 0444",17.66,"Restaurants"
04/03/2023,04/03/2023,"WOMENS FUND OF RHODE I 6072291295 RIAPPLE PAY ENDING IN 0444",5.00,"Services"
04/04/2023,04/04/2023,"TST* MOONSHINE ALLEY PROVIDENCE RI",143.89,"Restaurants"
04/04/2023,04/06/2023,"BROWN UNIV BOOKSTORE PROVIDENCE RI",49.95,"Education"
04/04/2023,04/06/2023,"TRINITY BREWHOUSE PROVIDENCE RI",23.60,"Restaurants"
04/05/2023,04/05/2023,"UBER TRIP 866-576-1039 CAAPPLE PAY ENDING IN 0444",6.85,"Travel/ Entertainment"
04/06/2023,04/06/2023,"DD DOORDASH CHICK-FIL 855-973-1040 CAAPPLE PAY ENDING IN 0444",38.11,"Restaurants"
04/06/2023,04/06/2023,"INTERNET PAYMENT - THANK YOU",-1174.96,"Payments and Credits"
04/06/2023,04/06/2023,"YAS CHICKEN PROVIDENCE RIAPPLE PAY ENDING IN 0444",29.58,"Restaurants"
04/08/2023,04/08/2023,"BAGEL GOURMET-THAYER ST PROVIDENCE RIAPPLE PAY ENDING IN 0444",25.38,"Restaurants"
04/09/2023,04/09/2023,"FELICIAS COFFEE EAST GREENWICRIAPPLE PAY ENDING IN 0444",15.98,"Restaurants"
04/10/2023,04/10/2023,"DAVES MARKETPLACE #10 CRANSTON RI",90.94,"Supermarkets"
04/11/2023,04/11/2023,"BAGEL GOURMET-THAYER ST PROVIDENCE RIAPPLE PAY ENDING IN 0444",8.74,"Restaurants"
04/11/2023,04/11/2023,"BAGEL GOURMET-THAYER ST PROVIDENCE RIAPPLE PAY ENDING IN 0444",14.21,"Restaurants"
04/12/2023,04/12/2023,"SQ *KOW KOW PROVIDENCE RIAPPLE PAY ENDING IN 04440002305843017387754861",9.18,"Restaurants"
04/13/2023,04/13/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",6.20,"Merchandise"
04/13/2023,04/13/2023,"ESPN PLUS 800-727-1800 NYESPN PLUS",10.46,"Services"
04/15/2023,04/15/2023,"SQ *KOW KOW PROVIDENCE RIAPPLE PAY ENDING IN 04440002305843017410521621",9.18,"Restaurants"
04/16/2023,04/16/2023,"RED SOX TICKETS 877-733-7699 MA",39.00,"Travel/ Entertainment"
04/16/2023,04/16/2023,"YAS CHICKEN PROVIDENCE RIAPPLE PAY ENDING IN 0444",18.79,"Restaurants"
04/17/2023,04/17/2023,"AMK FENWAY PARK CONCES BOSTON MA",12.84,"Restaurants"
04/17/2023,04/17/2023,"AMK FENWAY PARK CONCES BOSTON MA",12.84,"Restaurants"
04/17/2023,04/17/2023,"AMK FENWAY PARK CONCES BOSTON MA",15.50,"Restaurants"
04/17/2023,04/17/2023,"ARAMARK FENWAY PARK RETA BOSTON MAAPPLE PAY ENDING IN 0444",35.00,"Merchandise"
04/17/2023,04/17/2023,"MBTA MTICKET BOSTON MAAPPLE PAY ENDING IN 0444",4.80,"Travel/ Entertainment"
04/17/2023,04/17/2023,"MBTA MTICKET BOSTON MAAPPLE PAY ENDING IN 0444",15.00,"Travel/ Entertainment"
04/18/2023,04/18/2023,"TST* TATTE BAKERY NORTHE BOSTON MAAPPLE PAY ENDING IN 0444",10.54,"Restaurants"
04/20/2023,04/20/2023,"SQ *KOW KOW PROVIDENCE RIAPPLE PAY ENDING IN 04440002305843017437655409",9.18,"Restaurants"
04/21/2023,04/21/2023,"SUNSAMA PRO PLAN 4342424590 CA",20.00,"Merchandise"
04/24/2023,04/24/2023,"MCBRIDE'S PROVIDENCE RI",63.63,"Restaurants"
04/24/2023,04/24/2023,"YAS CHICKEN 781-715-8106 RI",15.82,"Restaurants"
04/26/2023,04/26/2023,"SQ *NORA GENTES PROVIDENCE RI0002305843017469418663",90.00,"Services"
04/30/2023,04/30/2023,"BAGEL GOURMET-THAYER ST PROVIDENCE RIAPPLE PAY ENDING IN 0444",37.88,"Restaurants"
04/30/2023,04/30/2023,"MCBRIDE'S PROVIDENCE RI",48.28,"Restaurants"
05/02/2023,05/02/2023,"PROVIDENCE BAGEL - PROVI 480-220-3931 RI",31.73,"Restaurants"
05/02/2023,05/02/2023,"UBER TRIP 866-576-1039 CAAPPLE PAY ENDING IN 0444",7.94,"Travel/ Entertainment"
05/05/2023,05/06/2023,"AROMA JOES - PROVIDENCE PROVIDENCE RIAPPLE PAY ENDING IN 0444",4.16,"Restaurants"
05/05/2023,05/06/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",37.43,"Merchandise"
05/06/2023,05/06/2023,"INTERNET PAYMENT - THANK YOU",-820.28,"Payments and Credits"
05/06/2023,05/06/2023,"UBER TRIP 866-576-1039 CAAPPLE PAY ENDING IN 0444",7.92,"Travel/ Entertainment"
05/07/2023,05/07/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",26.51,"Merchandise"
05/07/2023,05/07/2023,"DD DOORDASH MCDONALDS 855-973-1040 CAAPPLE PAY ENDING IN 0444",21.23,"Restaurants"
05/08/2023,05/08/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",24.59,"Merchandise"
05/08/2023,05/08/2023,"DD DOORDASH MCDONALDS 855-973-1040 CAAPPLE PAY ENDING IN 0444",20.23,"Restaurants"
05/08/2023,05/08/2023,"THE MET PAWTUCKET RI",18.00,"Restaurants"
05/08/2023,05/08/2023,"THE MET PAWTUCKET RI",38.00,"Restaurants"
05/09/2023,05/09/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",20.64,"Merchandise"
05/09/2023,05/09/2023,"UBER TRIP 866-576-1039 CAAPPLE PAY ENDING IN 0444",5.91,"Travel/ Entertainment"
05/09/2023,05/09/2023,"UBER TRIP 866-576-1039 CAAPPLE PAY ENDING IN 0444",18.18,"Travel/ Entertainment"
05/10/2023,05/10/2023,"CHIPOTLE 1388 PROVIDENCE RIAPPLE PAY ENDING IN 0444",9.67,"Restaurants"
05/11/2023,05/11/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",5.79,"Merchandise"
05/11/2023,05/11/2023,"DD DOORDASH PANERABRE 855-973-1040 CAAPPLE PAY ENDING IN 0444",37.05,"Restaurants"
05/12/2023,05/12/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",24.06,"Merchandise"
05/14/2023,05/14/2023,"ESPN PLUS 8007271800 NY",10.46,"Services"
05/14/2023,05/14/2023,"TRADER JOE S #572 PROVIDENCE RIAPPLE PAY ENDING IN 0444",56.63,"Supermarkets"
05/16/2023,05/16/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",5.79,"Merchandise"
05/17/2023,05/17/2023,"BERK'S STORES PROVIDENCE RIAPPLE PAY ENDING IN 0444",40.50,"Merchandise"
05/17/2023,05/17/2023,"HEALTH SERVICESPHARMACY PROVIDENCE RI",6.61,"Merchandise"
05/18/2023,05/18/2023,"BBOOKSTORE ST839 CHICAGO ILAPPLE PAY ENDING IN 0444",19.82,"Merchandise"
05/18/2023,05/18/2023,"DD DOORDASH THECHEESE 855-973-1040 CAAPPLE PAY ENDING IN 0444",20.81,"Restaurants"
05/18/2023,05/18/2023,"DD DOORDASH THECHEESE 855-973-1040 CAAPPLE PAY ENDING IN 0444",38.34,"Restaurants"
05/18/2023,05/18/2023,"HUDSONNEWS ST864 DES PLAINES ILAPPLE PAY ENDING IN 0444",16.53,"Merchandise"
05/18/2023,05/18/2023,"TST* BROWN UNIVERSITY FA PROVIDENCE RI",16.00,"Restaurants"
05/19/2023,05/19/2023,"PEARL CITY FOODLAND #09 PEARL CITY HI",10.75,"Supermarkets"
05/19/2023,05/19/2023,"TST* THE ALLEY - ALA M HONOLULU HIAPPLE PAY ENDING IN 044400006580011782867269AA",8.10,"Restaurants"
05/21/2023,05/21/2023,"BLIND VENDORS OHANA-S HONOLULU HIAPPLE PAY ENDING IN 0444",34.98,"Merchandise"
05/21/2023,05/21/2023,"SUNSAMA PRO PLAN 4342424590 CA",20.00,"Merchandise"
05/22/2023,05/22/2023,"DUNKIN #345396 WARWICK RIAPPLE PAY ENDING IN 0444",5.76,"Restaurants"
05/22/2023,05/22/2023,"SQ *TIZZY K'S CEREAL I PROVIDENCE RIAPPLE PAY ENDING IN 04440002305843017644912244",8.45,"Restaurants"
05/23/2023,05/23/2023,"11006 WAYLAND SQUARE PROVIDENCE RI02393R",64.00,"Merchandise"
05/24/2023,05/24/2023,"SQ *KOW KOW PROVIDENCE RI0002305843017656228042",10.26,"Restaurants"
05/24/2023,05/24/2023,"TST* BROWN UNIVERSITY FA PROVIDENCE RI",14.00,"Restaurants"
05/25/2023,05/25/2023,"TST* NARRAGANSETT BEER PROVIDENCE RI",13.50,"Restaurants"
05/26/2023,05/26/2023,"BROWN UNIV BOOKSTORE PROVIDENCE RIAPPLE PAY ENDING IN 0444",32.95,"Education"
05/26/2023,05/26/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",38.25,"Merchandise"
05/29/2023,05/29/2023,"10759 NEWPORT SEASONAL NEWPORT RI02957R",44.00,"Merchandise"
05/29/2023,05/29/2023,"ATHLETA US 3514 NEWPORT RIAPPLE PAY ENDING IN 044402943R",17.49,"Merchandise"
05/29/2023,05/29/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",22.53,"Merchandise"
05/29/2023,05/29/2023,"MCDONALD'S F10620 MIDDLETOWN RIAPPLE PAY ENDING IN 0444",3.66,"Restaurants"
05/29/2023,05/29/2023,"SQ *DRIFTWOOD SURF MAR NEWPORT RI0002305843017688021538",36.00,"Merchandise"
05/30/2023,05/30/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",4.48,"Merchandise"
05/30/2023,05/30/2023,"FIV*GONG CHA PROVIDENCE RIAPPLE PAY ENDING IN 0444",8.83,"Restaurants"
05/31/2023,05/31/2023,"AROMA JOES - PROVIDENCE PROVIDENCE RIAPPLE PAY ENDING IN 0444",3.83,"Restaurants"
05/31/2023,05/31/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",11.14,"Merchandise"
06/01/2023,06/01/2023,"PVD OCEAN STATE WARWICK RIAPPLE PAY ENDING IN 044400158R",16.76,"Merchandise"
06/04/2023,06/06/2023,"SHARETEA - ALA MOANA HONOLULU HIAPPLE PAY ENDING IN 0444",8.32,"Restaurants"
06/05/2023,06/06/2023,"EXPRESS#2073 AIEA HIAPPLE PAY ENDING IN 0444",75.24,"Merchandise"
06/05/2023,06/06/2023,"MANAOLA PEARLRIDGE AIEA HIAPPLE PAY ENDING IN 0444",123.71,"Merchandise"
06/05/2023,06/06/2023,"NORDSTROM-RACK #0048 HONOLULU HIAPPLE PAY ENDING IN 0444",47.15,"Department Stores"
06/05/2023,06/06/2023,"SQ *TASTE TEA INC WAIPAHU HIAPPLE PAY ENDING IN 04440002305843017734216808",6.02,"Restaurants"
06/05/2023,06/06/2023,"SUBWAY 7996 AIEA HIAPPLE PAY ENDING IN 0444",11.40,"Restaurants"
06/06/2023,06/06/2023,"INTERNET PAYMENT - THANK YOU",-980.58,"Payments and Credits"
06/08/2023,06/08/2023,"CBTL WARD #3027 HONOLULU HIAPPLE PAY ENDING IN 0444",12.02,"Restaurants"
06/09/2023,06/09/2023,"MCDONALD'S M5992 OF HI HONOLULU HI",12.80,"Restaurants"
06/10/2023,06/10/2023,"RAISING CANE #34009 PEARL CITY HI",24.69,"Restaurants"
06/12/2023,06/12/2023,"SQ *SPROUT SANDWICH SH GOSQ.COM HIAPPLE PAY ENDING IN 04440002305843017780139312",63.96,"Restaurants"
06/13/2023,06/13/2023,"HAPPY LEMON - HONOLULU W HONOLULU HI",15.97,"Restaurants"
06/14/2023,06/14/2023,"17 ZIPPYS KOKO MARINA HONOLULU HI",15.24,"Restaurants"
06/14/2023,06/14/2023,"ESPN PLUS 8007271800 NY",10.46,"Services"
06/15/2023,06/15/2023,"LONGS #09206 HONOLULU HIAPPLE PAY ENDING IN 0444",10.30,"Merchandise"
06/15/2023,06/15/2023,"LONGS #09206 HONOLULU HIAPPLE PAY ENDING IN 0444",82.96,"Merchandise"
06/15/2023,06/15/2023,"LULULEMON ALA MOANA HONOLULU HI01594R",40.84,"Merchandise"
06/15/2023,06/15/2023,"SP SUGAR SUGAR HAWAI 2698881180 HIAPPLE PAY ENDING IN 0444",39.79,"Merchandise"
06/16/2023,06/16/2023,"MATTRESS FIRM 512004 HONOLULU HI",946.27,"Merchandise"
06/16/2023,06/16/2023,"PARKWHIZ INC. 888-472-7594 ILAPPLE PAY ENDING IN 0444",6.90,"Services"
06/16/2023,06/16/2023,"PARKWHIZ INC. 888-472-7594 ILAPPLE PAY ENDING IN 0444",6.90,"Services"
06/17/2023,06/17/2023,"DD DOORDASH YOMIESRIC 855-973-1040 CAAPPLE PAY ENDING IN 0444",17.36,"Restaurants"
06/20/2023,06/20/2023,"SHARETEA - WAIMALU AIEA HIAPPLE PAY ENDING IN 0444",8.06,"Restaurants"
06/21/2023,06/21/2023,"DAVE & BUSTERS #30 HONOLULU HI",21.33,"Restaurants"
06/21/2023,06/21/2023,"MIDAS AUTO SERVICE PEARL CITY HI",26.18,"Automotive"
06/21/2023,06/21/2023,"SUNSAMA PRO PLAN 4342424590 CA",20.00,"Merchandise"
06/22/2023,06/22/2023,"SQ *OFF THE HOOK POKE HONOLULU HI0001152921512908064937",19.36,"Restaurants"
06/23/2023,06/23/2023,"HANA TEA 2 PEARL CITY HIAPPLE PAY ENDING IN 0444",4.92,"Restaurants"
06/23/2023,06/23/2023,"PEARL CITY FOODLAND #09 PEARL CITY HI",22.50,"Supermarkets"
